index,endTime,artistName,trackName,msPlayed,trackID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
36,2022-08-30 17:14,Caifanes,Aviéntame,267170,2FYzwDj6gyuivKOBb2M4bz,0.565,0.978,0.0,-4.517,1.0,0.0553,0.00438,0.000351,0.0422,0.545,130.099,4.0
37,2022-08-30 17:24,Röyksopp,Speed King,592972,3AHzNfksnT7en2Ir8sIUc9,0.547,0.836,11.0,-6.979,0.0,0.0385,0.0114,0.862,0.355,0.277,109.996,4.0
38,2022-08-30 17:31,Underworld,Always Loved A Film,412706,27oq0iwHs7KhO8hpijwWWc,0.76,0.98,6.0,-3.654,0.0,0.0512,0.000504,0.913,0.364,0.792,127.007,4.0
39,2022-08-30 17:36,Telefon Tel Aviv,You Are the Worst Thing in the World,283772,0kSsobxAV43EB5vrwJbxrt,0.803,0.477,10.0,-11.492,0.0,0.0597,0.00804,0.883,0.502,0.357,123.029,4.0
40,2022-08-30 17:41,Cinnamon Chasers,Luv Deluxe,273531,5YmU4bwFs12KKvtHVneMWr,0.628,0.604,9.0,-11.21,0.0,0.0288,0.00172,0.956,0.102,0.516,123.922,4.0
41,2022-08-30 17:44,Moby,Extreme Ways,237640,6BtDHNXnyWCHbJnEGjqomf,0.38,0.359,9.0,-11.515,0.0,0.0303,0.46,0.000926,0.0868,0.345,85.213,4.0
42,2022-08-30 17:50,Boards of Canada,Dayvan Cowboy,300186,2J4lJMCuFCA0zlwFOjePD5,0.324,0.615,11.0,-10.774,1.0,0.0419,0.512,0.809,0.0677,0.0361,167.951,4.0
43,2022-08-30 17:53,Moby,Porcelain,238920,7sayD59KZXTXx3B8U8EBm1,0.557,0.621,0.0,-8.112,0.0,0.0293,0.00115,0.112,0.31,0.248,94.968,4.0
44,2022-08-30 17:57,Röyksopp,Eple,218320,7pbEKdMWHGwPQSDGfcNycM,0.68,0.849,6.0,-5.295,1.0,0.0444,0.00746,0.0694,0.108,0.806,106.486,4.0
45,2022-08-30 17:58,Absoluting Tunes,Translated,73038,ID not found,,,,,,,,,,,,
46,2022-08-30 18:01,UnClubbed,Need To Feel Loved (with Zoe Durrant),140884,1zUoNZYAvQVD4seOqM62HE,0.587,0.449,2.0,-7.828,0.0,0.0278,0.616,0.0315,0.121,0.248,116.952,4.0
47,2022-08-30 19:15,Landmark,Only Solution - Original Mix,4095,22Q9cJUBzmIxKmaHXx41XI,0.795,0.931,4.0,-7.229,1.0,0.0634,0.00314,0.922,0.66,0.257,126.002,4.0
48,2022-08-30 19:17,L'Impératrice,Agitations tropicales,3780,ID not found,,,,,,,,,,,,
49,2022-08-30 21:21,Mike Mikhjian,Endless Existence - Original Mix,13306,1fOjZOCtKYA6sfql5ZauXX,0.626,0.97,7.0,-6.138,1.0,0.043,1.89e-05,0.792,0.197,0.904,128.012,4.0
50,2022-08-31 08:02,Vitalic,Poison Lips,580,1UmQzrMR5mA54xskyOz1ME,0.627,0.914,10.0,-5.076,0.0,0.0412,0.000355,0.594,0.0759,0.528,126.321,4.0
52,2022-08-31 08:12,Paradis,Miroir (Deux),217466,1MVxcHKVGNkbdvf8w8WMcv,0.722,0.733,10.0,-10.107,0.0,0.0576,0.000988,0.145,0.193,0.16,123.022,4.0
53,2022-08-31 08:16,Yellowcard,Way Away,202093,2VwT2iRU6v9MPrXIs8tn9O,0.357,0.959,2.0,-4.081,0.0,0.113,6.93e-06,3.91e-05,0.0825,0.364,179.644,4.0
54,2022-08-31 08:22,FAIRCHILD,Lost in Time,380947,0xj7y1xR9gTT8YwwsNNMpm,0.734,0.641,1.0,-9.413,1.0,0.069,0.000773,0.94,0.079,0.0697,120.008,3.0
55,2022-08-31 08:28,Massimiliano Pagliara,Avenue of the Palms - Sunset Mix,354737,58E5RP45zDuYXkaZsuqnSE,0.72,0.615,8.0,-7.721,1.0,0.0403,0.0228,0.395,0.159,0.229,124.0,4.0
56,2022-08-31 08:30,Johnny Klimek,LA LA,68560,3YApMzEHG4pfUz9uZjo1nb,0.322,0.381,9.0,-10.354,1.0,0.0349,0.563,0.0,0.0829,0.33,90.967,4.0
57,2022-08-31 08:32,Harry Styles,As It Was,163730,3XUbOnOfglIEcXua18UNwh,0.412,0.421,9.0,-11.748,1.0,0.0349,0.875,0.849,0.265,0.772,174.049,4.0
58,2022-08-31 08:35,Harry Styles,Watermelon Sugar,174000,6UelLqGlWMcVH1E5c4H7lY,0.548,0.816,0.0,-4.209,1.0,0.0465,0.122,0.0,0.335,0.557,95.39,4.0
59,2022-08-31 08:39,Harry Styles,Golden,208906,45S5WTQEGOB1VHr1Q4FuPl,0.448,0.838,4.0,-5.257,0.0,0.0557,0.21,0.000131,0.131,0.254,139.863,4.0
60,2022-08-31 08:40,Patrik Jean,Prosecco,49900,4acfgyVsfx2vVI7LysrBq6,0.805,0.637,8.0,-5.697,1.0,0.0426,0.148,1.52e-05,0.126,0.858,104.978,4.0
62,2022-08-31 09:11,Mehmet Akar,Roll the Dice - (Matias Chilano Remix) [Mixed],400640,76Tj11K4DP9vH2nGx1bKXC,0.536,0.638,7.0,-14.592,1.0,0.0329,0.00015,0.853,0.695,0.0984,126.995,4.0
63,2022-08-31 09:19,Alexis Samaan,Une Femme Seule,458360,4nwCedecSkuTMMh2AeoMxZ,0.609,0.801,2.0,-10.607,0.0,0.0406,0.0707,0.888,0.496,0.0633,122.003,4.0
64,2022-08-31 09:19,Niconé,TELL ME WHAT WE ARE - Short Edit,30656,586U0WKdi1rbyMMRuCWRe3,0.736,0.683,0.0,-8.984,0.0,0.0309,0.045,0.00924,0.0837,0.39,119.987,4.0
65,2022-08-31 09:24,Undo,Call Me Tonight,285908,2Qr1hB8nrxBoInz8tl1Ybp,0.696,0.809,10.0,-6.026,0.0,0.0549,0.000117,0.818,0.101,0.271,110.007,4.0
66,2022-08-31 09:31,Perel,Die Dimension,413988,7H8dITyr8FhhtZ9klDTp2x,0.802,0.912,7.0,-8.1,1.0,0.0599,0.000545,0.911,0.112,0.561,120.004,4.0
67,2022-08-31 09:36,Undo,Disconnect,275671,336wbCfmS6gMYQEPPXC8TU,0.585,0.731,6.0,-9.676,0.0,0.031,0.389,0.928,0.0935,0.151,115.01,4.0
68,2022-08-31 09:41,The Populists,Blacker - The Populists remix,315875,4mN0hHNbBcRz3Udg80akos,0.811,0.588,10.0,-6.694,0.0,0.0957,9.91e-06,0.926,0.359,0.539,117.007,4.0
69,2022-08-31 09:42,Prof. Steinmetz,Space,66480,4CaT7j4kk0MdCjn4sTrwzp,0.348,0.511,1.0,-18.651,1.0,0.0478,0.179,0.813,0.155,0.85,130.007,4.0
70,2022-08-31 09:44,Benjamin Fröhlich,Dream City - Zombies In Miami Remix,139553,2dhBOjueJ7GWw8U3kbNC7r,0.717,0.865,8.0,-9.434,1.0,0.0464,0.00935,0.74,0.073,0.396,121.007,4.0
74,2022-08-31 09:55,Röyksopp,Poor Leno,235840,6EUs3FH5StArwbc07i3OYG,0.559,0.842,10.0,-8.326,0.0,0.0353,0.000441,0.349,0.137,0.805,123.772,4.0
75,2022-08-31 10:01,Eli & Fur,I Can’t Move,308475,7ArMgAvKcEXp0K9nIsJbqP,0.662,0.695,5.0,-11.871,0.0,0.037,0.0894,0.293,0.0805,0.126,124.983,4.0
76,2022-08-31 10:08,Mihai Popoviciu,Travelling Without Moving,431040,7FBIOHDBqXHcwQBtco6ef4,0.809,0.622,4.0,-7.617,0.0,0.0959,0.00798,0.874,0.0563,0.335,125.016,4.0
77,2022-08-31 10:15,Marvin & Guy,Idra,453790,030SHdrUqF7XCPfPYzxDfy,0.735,0.72,7.0,-9.068,1.0,0.0387,5.24e-05,0.746,0.104,0.0399,120.002,4.0
78,2022-08-31 10:21,Dude Energy,Renee Running,333516,3kymkQHE5mFHlZk1kvI4J0,0.699,0.946,10.0,-8.563,0.0,0.0692,0.000353,0.9,0.0819,0.399,122.019,4.0
79,2022-08-31 10:52,Caterina Barbieri,Fantas,67933,27VgR44LkXoJXnYVE9P5Tb,0.174,0.00131,2.0,-29.752,0.0,0.0458,0.867,0.787,0.105,0.0795,69.696,3.0
80,2022-08-31 10:57,Possible,Cloud,253820,2VCqwAVx3zIcLBYxn4h9R5,0.379,0.471,1.0,-14.738,1.0,0.0618,0.451,0.0112,0.124,0.0789,182.952,3.0
81,2022-08-31 10:59,Henri Bergmann,Mind Control,5140,1fiBrHJAfPmZy3Et9j8Ktp,0.722,0.759,7.0,-5.745,1.0,0.0696,0.00365,0.701,0.141,0.325,124.004,4.0
82,2022-08-31 10:59,Tomas Novoa,Geminis,143070,4p9KiaYuUIjVLMf1fnbE2z,0.675,0.572,7.0,-12.934,1.0,0.0529,0.17,0.876,0.0782,0.0398,123.0,4.0
84,2022-08-31 11:09,Jupiter,Sage comme une image - Club Mix,363868,0xyer90vTm3YiTizIzRuD3,0.724,0.682,4.0,-8.038,1.0,0.0294,0.0639,0.0746,0.0952,0.963,115.391,4.0
85,2022-08-31 11:17,Roland Tings,Pala,499786,1DGDUG0aYbFyXTjn9pK6DX,0.801,0.684,7.0,-9.612,0.0,0.0551,0.00061,0.0364,0.0917,0.641,120.002,4.0
86,2022-08-31 11:34,Jupiter,Chocolate,55245,1Wu853OKOxFQP2sjo3M7Xs,0.359,0.57,11.0,-11.611,0.0,0.0338,0.00385,0.881,0.066,0.218,129.909,5.0
88,2022-08-31 11:50,Deepbass,Iridescence,365736,4M4TSNDtFsw40cGFdAOFEo,0.53,0.358,1.0,-19.476,0.0,0.0517,0.746,0.935,0.17,0.173,125.996,3.0
89,2022-08-31 11:50,INVŌKER,Lovestung - Mixed,15131,ID not found,,,,,,,,,,,,
90,2022-08-31 12:43,Maz Nimra,Dance Of The Mystic,9513,0McBkQdA65fEg0BHWcPF63,0.741,0.74,7.0,-12.584,0.0,0.0412,0.00693,0.892,0.0985,0.667,129.998,4.0
92,2022-08-31 14:55,Ween Greed,Tubi60,7598,2EOlBy90AbGtLZ5kZZdWGx,0.793,0.868,1.0,-9.126,1.0,0.0472,3.53e-05,0.932,0.108,0.0303,125.998,4.0
93,2022-08-31 17:29,Röyksopp,The Night,5500,39OZpmsquWGSgs1Lt6BXr0,0.485,0.812,9.0,-9.519,1.0,0.0365,0.125,0.00778,0.792,0.148,115.032,4.0
96,2022-08-31 17:49,Tunnelvisions,Who Are You,333194,4BgYMQib8BUGv8X1eAm6Id,0.772,0.486,0.0,-8.697,0.0,0.0503,0.011,0.195,0.083,0.254,122.034,4.0
98,2022-08-31 18:03,Mathame,Nothing Around Us,345600,6DuTXPpowLA1vk8fzqaLtB,0.589,0.889,10.0,-7.62,0.0,0.0358,0.00369,0.165,0.127,0.309,124.988,4.0
99,2022-08-31 18:07,Mac Quayle,3.5_1-alittlepush.ktp,258574,4PwtcevPwL7XxeKqUBT98C,0.168,0.173,2.0,-17.199,1.0,0.0349,0.848,0.906,0.363,0.0385,98.251,5.0
100,2022-08-31 18:11,HÆLOS,Kyoto,227829,13V2SZfT1qZruWCOjzV2Gk,0.735,0.558,6.0,-8.299,1.0,0.0307,0.0963,0.000801,0.274,0.467,116.016,4.0
101,2022-08-31 21:03,Modeā,Shine,1120,6GJYSPLEP0sjZzzpuiKIcx,0.682,0.962,1.0,-6.307,1.0,0.0486,0.00669,0.932,0.0521,0.454,135.938,4.0
104,2022-09-01 07:19,Genius Of Time,Peace Bird,518549,2JCs6WYjp39oLg3WaKQVvs,0.737,0.941,9.0,-9.636,0.0,0.0752,0.000727,0.925,0.825,0.153,127.032,4.0
105,2022-09-01 07:25,Aleksandir,Yamaha,388484,0gUmmTEdVp3w52gS1wlJOD,0.796,0.705,0.0,-10.636,1.0,0.0547,0.00225,0.856,0.093,0.225,109.993,4.0
106,2022-09-01 07:30,Chinaski,Fun House,306012,4LKipB4neinMa1jX2clQys,0.77,0.8,9.0,-10.405,0.0,0.0844,0.000446,0.929,0.0806,0.793,126.997,4.0
107,2022-09-01 07:37,Outcome,Aurora,56557,3QUpu6lilfFqc1onKygvtl,0.702,0.635,0.0,-8.887,1.0,0.0361,0.018,0.858,0.0948,0.0732,120.009,5.0
109,2022-09-01 07:43,Interelektrika,Harmonics - Iorie Remix,820,1Eelrfyd9cncbYHrlTKRrK,0.86,0.391,1.0,-12.296,1.0,0.0676,0.0023,0.861,0.086,0.142,118.999,4.0
110,2022-09-01 07:43,Pierre Daven-Keller,Champ magnétique,15131,2whlrDiAsxDytKh79CcLgl,0.576,0.667,9.0,-11.028,0.0,0.0311,0.0123,0.755,0.218,0.352,90.08,4.0
111,2022-09-01 07:43,Weval,Heartbreak Television,1770,6vDRTqBKkDE6waPCC3xRDV,0.672,0.394,1.0,-12.713,0.0,0.0313,0.696,0.567,0.127,0.649,118.981,4.0
113,2022-09-01 07:43,Alyne,Village People,980,6l876KhVtsN2lmRz37CMCo,0.602,0.794,7.0,-10.471,1.0,0.0358,0.00803,0.92,0.104,0.0361,120.012,4.0
114,2022-09-01 07:43,Röyksopp,Impossible - &ME Remix,1320,0TVcPTk3MMkT6WqkuatPSr,0.729,0.844,1.0,-9.153,1.0,0.043,0.115,0.936,0.0914,0.0688,121.023,4.0
115,2022-09-01 07:46,Charlie Powers,Can We Be,153750,2OqCuzRozWObsvArpLZ0Xy,0.334,0.659,9.0,-6.024,0.0,0.0314,0.0825,2.21e-06,0.374,0.297,99.605,3.0
116,2022-09-01 08:10,Petar Dundov,Around One,48970,4CkuYeUgX6NdJKe8j4327i,0.727,0.404,0.0,-12.948,0.0,0.0603,0.843,0.952,0.111,0.0397,119.987,4.0
117,2022-09-01 08:16,GHEIST,Arrival,394149,5wG02yXzXgPpaxbG2f3TEk,0.719,0.846,1.0,-8.826,0.0,0.0494,0.00011,0.955,0.046,0.15,123.006,4.0
118,2022-09-01 08:32,Phobium,Towards Proxima Centauri,914033,2vqnE3qQbUdMfK8Qa6G9kV,0.482,0.592,1.0,-9.649,1.0,0.0289,0.00424,0.896,0.0999,0.0458,101.007,4.0
119,2022-09-01 08:32,Lyves,Lyves X Synkro - Body Close,27537,3jmBXk1jmdyUMQPtN6tG8B,0.315,0.785,1.0,-6.15,1.0,0.174,0.0241,0.038,0.113,0.467,145.994,4.0
121,2022-09-01 08:43,Zimmer,Wildflowers,217986,5xl0p7WkEry8QAOxTs28kY,0.728,0.544,9.0,-7.848,0.0,0.0502,0.347,0.576,0.179,0.255,101.029,4.0
122,2022-09-01 08:47,Metro Boomin,10AM/Save The World - Instrumental,226333,64wSIBV7Dl5Hmnhfjfsv1U,0.674,0.383,8.0,-12.617,0.0,0.0416,0.195,0.217,0.213,0.347,135.974,4.0
123,2022-09-01 08:48,Santa Esmeralda,Don't Let Me Be Misunderstood,72474,7fQ1vMuK8rMEp1wcaE390x,0.786,0.711,2.0,-5.101,1.0,0.156,0.00461,0.339,0.0557,0.458,126.004,4.0
124,2022-09-01 08:56,Unique Repeat,District 44,468479,3f6ZIigjKUcHxFNjOjalLK,0.824,0.562,9.0,-9.247,1.0,0.113,0.0345,0.887,0.0874,0.126,124.979,4.0
125,2022-09-01 09:02,Slam,Eterna,375680,5CPKGN93JKthIosbYiVjI9,0.676,0.899,5.0,-11.03,1.0,0.0573,0.000343,0.864,0.66,0.0837,122.648,4.0
126,2022-09-01 09:10,Arude,Under The Shadow,439024,3n9M01fFwHSbJcgAkTzZ4e,0.7,0.821,1.0,-8.659,1.0,0.0636,0.0756,0.859,0.112,0.217,123.998,4.0
127,2022-09-01 09:14,Agoria,Scala,264731,4YO2WN73w42uFdQrZTPFeu,0.722,0.619,2.0,-8.533,1.0,0.0397,0.000174,0.499,0.183,0.303,124.005,4.0
128,2022-09-01 09:15,Hot Chip,Motion Sickness,44804,3G7mNgJKJaOfIIYrcQJJyT,0.562,0.923,2.0,-5.674,0.0,0.0344,0.0905,0.108,0.237,0.336,125.974,4.0
129,2022-09-01 09:22,Claudio PRC,Tonal,431935,04fYJHkqNYRGb1szqgpJYd,0.801,0.562,1.0,-17.259,0.0,0.0505,0.0732,0.929,0.0898,0.0343,125.009,4.0
130,2022-09-01 09:27,Pascal Schumacher,Re: Amarcord - Fejká's Daydream Version,297604,25Rj9yJUNLzDjC5hoBYXqU,0.54,0.717,1.0,-10.597,0.0,0.0302,0.341,0.927,0.162,0.0368,100.013,4.0
131,2022-09-01 09:28,Wankelmut,My Head Is A Jungle - Radio Edit,51559,3XsFloRkJWEZSti8Qu4i0k,0.679,0.747,7.0,-6.706,0.0,0.0361,0.101,0.000169,0.196,0.27,124.009,4.0
132,2022-09-01 09:28,VICTHOR,Nomad - Original Mix,1110,5pLsPIE8GiAwi85zANnl2A,0.808,0.904,9.0,-5.632,0.0,0.0437,0.0234,0.884,0.124,0.327,120.998,4.0
133,2022-09-01 09:35,Mind Against,Closer,424616,5A8rwVPuBWN1oUw7lD4jzP,0.591,0.633,11.0,-12.927,1.0,0.0355,0.00963,0.812,0.104,0.0789,120.01,4.0
134,2022-09-01 09:41,Ross from Friends,R.A.T.S.,329087,7rxJlgKEXuDIgHOOPS2a3A,0.718,0.801,8.0,-8.693,0.0,0.0539,0.134,0.787,0.262,0.434,124.994,4.0
135,2022-09-01 09:47,Apparat,IN GRAVITAS,372888,78YjMNvdFZeP6wahX1XLKu,0.499,0.695,5.0,-9.557,0.0,0.0469,0.0503,0.805,0.0829,0.0875,128.019,4.0
136,2022-09-01 09:51,Café Tacvba,Esta Vez,262880,3O6FSINQCT743cLVMRJrsT,0.518,0.416,0.0,-7.579,1.0,0.0242,0.00728,0.00175,0.104,0.268,150.01,4.0
137,2022-09-01 09:58,Boundary,Fantasmagórico,409752,40Hwj13848dNXtADVhlobF,0.599,0.638,1.0,-12.099,1.0,0.0432,0.00533,0.597,0.106,0.261,122.998,4.0
138,2022-09-01 10:01,Blue Öyster Cult,(Don't Fear) The Reaper,153724,6DOsgVZ6NbKBySbegACJHK,0.165,0.745,11.0,-13.228,0.0,0.0492,0.248,0.236,0.988,0.461,152.061,4.0
139,2022-09-01 10:01,Alex Kennon,Blinding Lights - Joris Voorn Remix,2030,0fZ19tHX4FSslZn8EeKCpo,0.708,0.749,9.0,-7.003,1.0,0.0406,0.000143,0.877,0.0838,0.17,123.997,4.0
140,2022-09-01 10:05,Caribou,All I Ever Need,232746,3TWq4sElJorDh8TGa81epv,0.547,0.721,10.0,-9.092,0.0,0.0474,0.217,0.806,0.106,0.2,119.875,4.0
141,2022-09-01 10:11,Eversines,Altar,366412,3cyybSJICRVM3chyjqxNt6,0.74,0.862,10.0,-9.55,0.0,0.0446,0.000642,0.867,0.0785,0.669,130.994,4.0
142,2022-09-01 10:14,CamelPhat,Hypercolour,209081,1C520ac9eqxTR9RPufoYem,0.643,0.789,6.0,-7.165,0.0,0.0322,0.0183,0.52,0.0901,0.0392,122.035,3.0
143,2022-09-01 10:21,Feon,Holland Fly By,409302,17CAzR1shmkk153ryooHn0,0.566,0.823,9.0,-6.609,1.0,0.0322,0.0444,0.731,0.0882,0.573,129.004,4.0
144,2022-09-01 10:27,Fat Cosmoe,Alderan,329011,1Iwe9eOJriUrsUshdFzfPq,0.679,0.545,5.0,-8.953,0.0,0.0359,0.00164,0.919,0.103,0.13,123.999,4.0
145,2022-09-01 10:31,Robert Tepper,"No Easy Way Out - From ""Rocky IV"" Soundtrack",262026,6etbrXMtxh1yk078lVrdkn,0.556,0.727,4.0,-10.592,0.0,0.0441,0.000788,6.61e-05,0.153,0.652,126.204,4.0
146,2022-09-01 10:35,Gitkin,Cat Nip,207829,2nfHZUbJiAGkvNGWBoSoN6,0.519,0.827,2.0,-9.04,1.0,0.0464,0.0615,0.895,0.0839,0.64,160.045,4.0
147,2022-09-01 10:38,Apparat,Sweet Unrest,213560,3q0lDLcMNGQIo0MjnIzsCx,0.35,0.454,6.0,-10.033,1.0,0.0428,0.758,0.67,0.318,0.0353,120.078,4.0
148,2022-09-01 10:41,Tove Lo,"How Long - From""Euphoria"" An HBO Original Series",199314,6RTT9TLcnBKQW12Wd9RKZj,0.668,0.687,7.0,-7.129,0.0,0.058,0.0157,0.000822,0.149,0.468,97.025,4.0
149,2022-09-01 10:46,Benjamin Diamond,Little Scare,251480,5hxCXvBKetsYiadWFfqDGA,0.726,0.881,1.0,-5.375,1.0,0.0296,0.000347,0.0172,0.0531,0.969,129.806,4.0
150,2022-09-01 10:51,Tony Castles,Heart in the Pipes (KAUF Remix),294739,0tauHCQrMIigu9GtuYqIw1,0.451,0.872,8.0,-5.303,0.0,0.065,0.056,0.0785,0.0904,0.348,180.06,4.0
151,2022-09-01 10:54,Lykke Li,Gunshot,204160,5mSjJvTv9l5X2CblEa2ehN,0.523,0.621,0.0,-5.535,0.0,0.032,0.0751,0.00226,0.0895,0.35,106.961,4.0
152,2022-09-01 12:23,Bombay Bicycle Club,How Can You Swallow So Much Sleep,104596,0DYCqBflQYQop1AtB087Rc,0.4,0.842,7.0,-9.189,1.0,0.057,0.00357,0.723,0.403,0.159,124.023,4.0
158,2022-09-01 12:46,Anden,Retrograde,248709,7sXksHTKHIutlhHae3Xpoo,0.631,0.893,7.0,-7.33,1.0,0.0396,0.00486,0.703,0.178,0.0382,124.035,4.0
159,2022-09-01 12:48,Jax Jones,Play (with Years & Years),128770,6CXh0RBouuXSUyIKzwYswZ,0.767,0.788,11.0,-7.718,0.0,0.0444,0.0276,2.13e-05,0.391,0.591,125.036,4.0
