endTime,artistName,trackName,msPlayed,trackID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
2022-08-30 15:59,Darkness Falls,The Void - Trentemøller Remix,26687,6k9QRtFdouEEe57VoROcWL,0.691,0.604,7.0,-8.659,1.0,0.0602,0.0776,0.108,0.137,0.36,123.964,4.0
2022-08-30 16:45,Saycet,Smiles from Thessaloniki,311350,7rx6h1ncP7gTxsi04mz8VS,0.602,0.421,9.0,-9.926,0.0,0.0336,0.448,0.901,0.0837,0.0601,100.013,4.0
2022-08-30 16:52,DJ Psychiatre,"Sit Back, Enjoy",424954,7kU8vHfOGjQkRySQRehsLI,0.684,0.801,10.0,-8.89,0.0,0.0535,0.004,0.82,0.0837,0.461,118.203,4.0
2022-08-30 17:01,Nela,No Mambo at Midnight,497626,0jXWM6r5121s7McuUmliXf,0.701,0.761,6.0,-8.753,0.0,0.0423,0.00577,0.838,0.0647,0.375,123.987,4.0
2022-08-30 17:04,Tom Grennan,Something in the Water,207280,3fAPSHaCcVLsAUIvrawN4y,0.687,0.478,6.0,-7.11,0.0,0.0297,0.436,0.0,0.207,0.497,87.05,4.0
2022-08-30 17:10,Cerrone,The Impact,333508,7Cd22d581U3mZQFlqPn9GL,0.603,0.881,2.0,-7.648,0.0,0.0447,0.00934,0.554,0.106,0.224,123.97,4.0
2022-08-30 17:14,Caifanes,Aviéntame,267170,2FYzwDj6gyuivKOBb2M4bz,0.565,0.978,0.0,-4.517,1.0,0.0553,0.00438,0.000351,0.0422,0.545,130.099,4.0
2022-08-30 17:24,Röyksopp,Speed King,592972,3AHzNfksnT7en2Ir8sIUc9,0.547,0.836,11.0,-6.979,0.0,0.0385,0.0114,0.862,0.355,0.277,109.996,4.0
2022-08-30 17:31,Underworld,Always Loved A Film,412706,27oq0iwHs7KhO8hpijwWWc,0.76,0.98,6.0,-3.654,0.0,0.0512,0.000504,0.913,0.364,0.792,127.007,4.0
2022-08-30 17:36,Telefon Tel Aviv,You Are the Worst Thing in the World,283772,0kSsobxAV43EB5vrwJbxrt,0.803,0.477,10.0,-11.492,0.0,0.0597,0.00804,0.883,0.502,0.357,123.029,4.0
2022-08-30 17:41,Cinnamon Chasers,Luv Deluxe,273531,5YmU4bwFs12KKvtHVneMWr,0.628,0.604,9.0,-11.21,0.0,0.0288,0.00172,0.956,0.102,0.516,123.922,4.0
2022-08-30 17:44,Moby,Extreme Ways,237640,6BtDHNXnyWCHbJnEGjqomf,0.38,0.359,9.0,-11.515,0.0,0.0303,0.46,0.000926,0.0868,0.345,85.213,4.0
2022-08-30 17:50,Boards of Canada,Dayvan Cowboy,300186,2J4lJMCuFCA0zlwFOjePD5,0.324,0.615,11.0,-10.774,1.0,0.0419,0.512,0.809,0.0677,0.0361,167.951,4.0
2022-08-30 17:53,Moby,Porcelain,238920,7sayD59KZXTXx3B8U8EBm1,0.557,0.621,0.0,-8.112,0.0,0.0293,0.00115,0.112,0.31,0.248,94.968,4.0
2022-08-30 17:57,Röyksopp,Eple,218320,7pbEKdMWHGwPQSDGfcNycM,0.68,0.849,6.0,-5.295,1.0,0.0444,0.00746,0.0694,0.108,0.806,106.486,4.0
2022-08-30 17:58,Absoluting Tunes,Translated,73038,ID not found,,,,,,,,,,,,
2022-08-30 18:01,UnClubbed,Need To Feel Loved (with Zoe Durrant),140884,1zUoNZYAvQVD4seOqM62HE,0.587,0.449,2.0,-7.828,0.0,0.0278,0.616,0.0315,0.121,0.248,116.952,4.0
2022-08-30 19:15,Landmark,Only Solution - Original Mix,4095,22Q9cJUBzmIxKmaHXx41XI,0.795,0.931,4.0,-7.229,1.0,0.0634,0.00314,0.922,0.66,0.257,126.002,4.0
2022-08-30 19:17,L'Impératrice,Agitations tropicales,3780,ID not found,,,,,,,,,,,,
2022-08-30 21:21,Mike Mikhjian,Endless Existence - Original Mix,13306,1fOjZOCtKYA6sfql5ZauXX,0.626,0.97,7.0,-6.138,1.0,0.043,1.89e-05,0.792,0.197,0.904,128.012,4.0
2022-08-31 08:02,Vitalic,Poison Lips,580,1UmQzrMR5mA54xskyOz1ME,0.627,0.914,10.0,-5.076,0.0,0.0412,0.000355,0.594,0.0759,0.528,126.321,4.0
2022-08-31 08:09,DJ Psychiatre,"Sit Back, Enjoy",424954,7kU8vHfOGjQkRySQRehsLI,0.684,0.801,10.0,-8.89,0.0,0.0535,0.004,0.82,0.0837,0.461,118.203,4.0
2022-08-31 08:12,Paradis,Miroir (Deux),217466,1MVxcHKVGNkbdvf8w8WMcv,0.722,0.733,10.0,-10.107,0.0,0.0576,0.000988,0.145,0.193,0.16,123.022,4.0
